Code RNCP,Certification active ?,uuid,Nom la certification,Description de la certification,Type de diplôme,uuid (from Type de diplôme),Niveau de diplôme,Conventions collective,uuid (from Conventions collectives),Filière,uuid (from Domaines),Certificateurs
35347,,1595e5f6-6434-41c0-8dea-65d80d82c51a,BTS Conception des produits industriels - CPI,,BTS,7d875230-4ce1-47f9-907f-bc876329f1d5,5,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,Ministère de l'Education Nationale et de la Jeunesse
35459,checked,1c27096f-d7de-4de2-bac5-5e5cc113867a,BTS Conception et industrialisation en construction navale - CICN,,BTS,7d875230-4ce1-47f9-907f-bc876329f1d5,5,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,Ministère de l'Education Nationale et de la Jeunesse
35334,,544a44f2-4c41-42b6-8615-f116a8b7ca5d,BTS Conception et réalisation en chaudronnerie industrielle - CRCI,,BTS,7d875230-4ce1-47f9-907f-bc876329f1d5,5,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,Ministère de l'Education Nationale et de la Jeunesse
36938,checked,8d51a69f-ac34-4dfc-ac77-92f3c1de3c5c,BTS Economie sociale et familiale - ESF,,BTS,7d875230-4ce1-47f9-907f-bc876329f1d5,5,,,Social,43062959-9315-4c1b-82b6-fdb9af494b0c,Ministère de l'Education Nationale et de la Jeunesse
35346,checked,29b4e607-0b20-4498-88db-f0518e549c57,BTS Électrotechnique,,BTS,7d875230-4ce1-47f9-907f-bc876329f1d5,5,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,Ministère de l'Education Nationale et de la Jeunesse
36968,checked,8013f6f2-3f59-44b7-a9af-c9bf0965df7a,BTS Maintenance des systèmes option A : systèmes de production - MSP,,BTS,7d875230-4ce1-47f9-907f-bc876329f1d5,5,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,Ministère de l'Education Nationale et de la Jeunesse
34031,checked,60f465cd-de97-4208-b2fd-0398085d21fd,BTS Management commercial opérationnel - MCO,,BTS,7d875230-4ce1-47f9-907f-bc876329f1d5,5,,,Métiers Transverses,f69101d2-2824-4093-9ac0-8f8631e5010a,Ministère de l'Education Nationale et de la Jeunesse
35803,checked,72de7e15-6fea-44a7-86a9-26be0dd034ea,BTS Métiers de la mesure - 2M,,BTS,7d875230-4ce1-47f9-907f-bc876329f1d5,5,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,Ministère de l'Education Nationale et de la Jeunesse
35341,checked,27bece71-cab5-46f3-a331-ae3b3e8ff317,BTS Systèmes numériques - SN,,BTS,7d875230-4ce1-47f9-907f-bc876329f1d5,5,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,Ministère de l'Education Nationale et de la Jeunesse
35513,checked,ca4601d3-0bc8-412b-a774-3ea8372d2d54,BUT Carrières sociales : coordination et gestion des établissements et services sanitaires et sociaux - CS,,BUT,9beb947d-3265-4f1d-a3e4-1f19eebe6bae,6,,,Social,43062959-9315-4c1b-82b6-fdb9af494b0c,"Ministère de l'Education Nationale et de la Jeunesse,Ministère de l'Enseignement Supérieur et de la Recherche"
35408,checked,978ff861-4b7f-44f7-a37f-d6f5becaf07d,BUT Génie électrique et informatique industrielle : Automatisme et informatique industrielle - GEII,,BUT,9beb947d-3265-4f1d-a3e4-1f19eebe6bae,6,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,"Ministère de l'Education Nationale et de la Jeunesse,Ministère de l'Enseignement Supérieur et de la Recherche"
35465,checked,ba8e5e4e-cccd-4372-a65f-19ad83f828c6,BUT Génie mécanique et productique : management du process industriel - GMP,,BUT,9beb947d-3265-4f1d-a3e4-1f19eebe6bae,6,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,"Ministère de l'Education Nationale et de la Jeunesse,Ministère de l'Enseignement Supérieur et de la Recherche"
35375,checked,8885ed22-a3ec-438f-a6c8-cab45f76a58e,"BUT Gestion des entreprises et des administrations : gestion comptable, fiscale et financière - GEA",,BUT,9beb947d-3265-4f1d-a3e4-1f19eebe6bae,6,,,Métiers Transverses,f69101d2-2824-4093-9ac0-8f8631e5010a,"Ministère de l'Education Nationale et de la Jeunesse,Ministère de l'Enseignement Supérieur et de la Recherche"
35362,checked,8b55ec2e-b0d7-4182-9d92-35b5cb7e0d1d,BUT Information-Communication : information numérique dans les organisations - IC ,,BUT,9beb947d-3265-4f1d-a3e4-1f19eebe6bae,6,,,Métiers Transverses,f69101d2-2824-4093-9ac0-8f8631e5010a,"Ministère de l'Education Nationale et de la Jeunesse,Ministère de l'Enseignement Supérieur et de la Recherche"
