Code RNCP,uuid,Nom la certification,Description de la certification,Type de diplôme,uuid (from Type de diplôme),Niveau de diplôme,Conventions collectives,uuid (from Conventions collectives),Domaines,uuid (from Domaines),date,Last Modified,Created By,Last Modified By
37099,e4e18b1b-d87b-4aa3-9cd9-5105a35154f7,Titre professionnel Employé commercial - EC ,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,3,,,Métiers Transverses,f69101d2-2824-4093-9ac0-8f8631e5010a,10/5/2023 09:32,12/5/2023 2:05pm,Aurélie Favart,Vincent Tournebise
35992,6162e26d-3d38-461b-9fb4-651d18d91879,Titre professionnel Employé technicien vendeur en matériel de sport - ETVMS,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,3,,,Grande distribution,24a5eeaa-82af-46f6-ad03-b5a6c5babf14,19/4/2023 11:42,12/5/2023 2:05pm,Cédric Soulas,Vincent Tournebise
32299,c8cabd20-ae92-4faa-ab9f-6d8a8e73f4b3,Titre professionnel Fraiseur sur machines conventionnelles et à commande numérique - FMCCN,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,4,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,10/5/2023 09:32,12/5/2023 2:05pm,Aurélie Favart,Vincent Tournebise
31677,93e70c5c-28d8-46c4-a76e-b616df76e4d6,Titre professionnel Gestionnaire comptable et fiscal - GCF,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,5,,,Métiers Transverses,f69101d2-2824-4093-9ac0-8f8631e5010a,10/5/2023 09:32,12/5/2023 2:06pm,Aurélie Favart,Vincent Tournebise
32291,9277b972-59cf-409e-82a4-d630885e8a29,Titre professionnel Manager des unités marchandes - MUM ,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,5,,,Métiers Transverses,f69101d2-2824-4093-9ac0-8f8631e5010a,10/5/2023 09:32,12/5/2023 2:06pm,Aurélie Favart,Vincent Tournebise
34079,84606408-f234-4a66-b2ab-56e18809808e,Titre professionnel Négociateur technico commercial - NTC,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,5,,,Métiers Transverses,f69101d2-2824-4093-9ac0-8f8631e5010a,10/5/2023 09:32,12/5/2023 2:06pm,Aurélie Favart,Vincent Tournebise
34860,2607d00a-e679-491e-9b5b-ce12da1fc5b0,Titre professionnel Préparateur de commande en entrepôt - PCE,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,3,,,Métiers Transverses,f69101d2-2824-4093-9ac0-8f8631e5010a,10/5/2023 09:32,12/5/2023 2:06pm,Aurélie Favart,Vincent Tournebise
35993,eebee2d3-2696-47f9-840e-859ff5fc324b,Titre professionnel Responsable coordonnateur service à domicile - RCSD,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,5,,,Social,43062959-9315-4c1b-82b6-fdb9af494b0c,10/5/2023 09:32,18/5/2023 11:32am,Aurélie Favart,Vincent Tournebise
35646,f08b7896-763f-4da1-9a37-5ae5a184a530,Titre professionnel Responsable de petite et moyenne structure - RPMS ,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,5,,,Métiers Transverses,f69101d2-2824-4093-9ac0-8f8631e5010a,10/5/2023 09:32,12/5/2023 2:06pm,Aurélie Favart,Vincent Tournebise
36805,610b6e86-9435-4781-abda-4cad3a746f32,Titre professionnel Secrétaire assistant médico social - SAMS,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,4,,,Social,43062959-9315-4c1b-82b6-fdb9af494b0c,10/5/2023 09:32,12/5/2023 2:06pm,Aurélie Favart,Vincent Tournebise
1864,1360ec4a-711f-4096-9ffd-cd79b5034459,Titre professionnel Soudeur à l'arc,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,3,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,2/5/2023 17:59,12/5/2023 2:06pm,Aurélie Favart,Vincent Tournebise
35191,ac4c0ea6-6bcc-4e10-acde-0ab86632c16c,Titre professionnel Technicien de maintenance industrielle - TMI,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,4,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,10/5/2023 09:32,12/5/2023 2:06pm,Aurélie Favart,Vincent Tournebise
34146,24ebe906-869a-4a63-8db9-1e7e31b1047a,Titre professionnel Technicien de production industrielle - TPI,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,4,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,2/5/2023 17:59,12/5/2023 2:06pm,Aurélie Favart,Vincent Tournebise
35182,e335058a-7ba0-4eef-9225-b4d07e1f2268,Titre professionnel Technicien en usinage assisté par ordinateur - TUAO,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,4,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,10/5/2023 09:32,12/5/2023 2:06pm,Aurélie Favart,Vincent Tournebise
36317,f7cd7a26-663b-4c1e-973f-2acc1977a93b,Titre professionnel Technicien supérieur de contrôle non destructif - TSCND,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,5,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,10/5/2023 09:32,12/5/2023 2:06pm,Aurélie Favart,Vincent Tournebise
37317,785abe49-d2ab-4717-af71-2c96f998b321,Titre professionnel Technicien supérieur en conception industrielle de systèmes mécaniques - TSCISM,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,5,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,10/5/2023 09:32,12/5/2023 2:07pm,Aurélie Favart,Vincent Tournebise
37277,132c5fa7-dd11-430e-a1fb-99d8373689f2,Titre professionnel Technicien supérieur en méthodes et exploitation logistique - TSMEL ,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,5,,,Métiers Transverses,f69101d2-2824-4093-9ac0-8f8631e5010a,10/5/2023 09:32,12/5/2023 2:07pm,Aurélie Favart,Vincent Tournebise
36236,39ecfbae-14bd-43bd-b01b-ec94a41ca0f9,Titre professionnel Tourneur,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,3,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,2/5/2023 17:59,12/5/2023 2:07pm,Aurélie Favart,Vincent Tournebise
34612,2ebd553f-e49e-4a87-9c83-84b5dad746a1,Titre professionnel Tuyauteur industriel,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,3,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,2/5/2023 17:59,12/5/2023 2:07pm,Aurélie Favart,Vincent Tournebise
