id,idcc,label
c6427442-7196-4c58-a39e-1c5840bd4cc8,1483,"Convention collective nationale du commerce de détail de l'habillement et des articles textiles"
4830fafa-e89a-4d22-8367-11f375c6237e,1486,"Convention collective nationale applicable au personnel des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils(BET, SYNTEC)"
49a22ebc-1965-4a08-82ed-e3637cab6e6b,1487,"Convention collective nationale du commerce de détail de l'horlogerie-bijouterie"
f3c53292-c52f-4f04-9f6d-26886184e353,1499,"Convention collective nationale de la miroiterie, de la transformation et du négoce du verre"
7d8aaa4c-79aa-412b-a863-3aeb11297ebe,1501,"Convention collective nationale de la restauration rapide (restauration livrée)"
1c16ca9d-47b4-4423-8ef2-7e1bb0dde8f9,1504,"Convention collective nationale de la poissonnerie (commerce de détail, de demi-gros et de gros de la poissonnerie)"
e3b700b9-0fc7-4d13-85b6-f0fc7e7987d6,1505,"Convention collective nationale du commerce de détail alimentaire non spécialisé"
28fe3090-0c66-4a58-9c6c-bb00a3a01167,1512,"Convention collective nationale de la promotion immobilière"
262c15fe-a876-4791-8f55-47c56d94c5cc,1513,"Convention collective nationale des activités de production des eaux embouteillées, des boissons rafraîchissantes sans alcool et de bière"
e44987ba-c9bc-48db-857e-8198b517f5e2,1516,"Convention collective nationale des organismes de formation"
17d2422e-0b87-4fa1-ba49-08cbe3eef63f,1517,"Convention collective nationale des commerces de détail non alimentaires : antiquités, brocante, galeries d'art, arts de la table, coutellerie, droguerie, équipement du foyer, bazars, commerces ménagers, modélisme, jeux, jouets, périnatalité et maroquinerie(œuvres d'art)"
ceeae4bc-986a-4593-9ec9-9098c1692916,1518,"Convention collective nationale des métiers de l’Éducation, de la Culture, des Loisirs, et de l’Animation agissant pour l’utilité sociale et environnementale, au service des Territoires dite ECLAT (ex Animation)"
f4ea39cc-0498-4346-9756-043349fff6a9,1525,"Convention collective locale de la métallurgie de la région dunkerquoise"
0b6ebe95-ca47-4c3c-a9a3-2131e0d0863f,1527,"Convention collective nationale de l'immobilier"
c5a108b0-9b20-46e7-b98f-948d27e05e41,1534,"Convention collective nationale des entreprises de l'industrie et des commerces en gros des viandes"
5cce7bdf-a4d4-49d3-9069-a4cd5a801100,1536,"Convention collective nationale des distributeurs conseils hors domicile (entrepositaires-grossistes, bières, eaux minérales et de table, boissons gazeuses, non gazeuses, sirops, jus de fruits, CHD)"
412e2cb8-e238-42d8-8105-a7decc2d2eaf,1539,"Convention collective nationale des entreprises du bureau et du numérique Commerces et Services"
